N,H1,H2,H3,C,R,E,Lesson,Course
6,7.5,7.5,6,9,6.2,9,A1,Art
8,8,8,8,9.5,8,9.5,A2,Art
8,5,8,8,8,3.8,8,A3,Art
8,8,8,6,8,5.6,8,A4,Art
8.25,7,7.5,6,7.5,6.6,9,A5,Art
7.875,7,7.5,7,9,6.3,9,A6,Art
8,6.5,7.5,6,7.5,6,8,A7,Art
6.5,7,6.5,6,7,6.2,7,A8,Art
7,7,8,8,8,6.6,8,A9,Art
8,8,9,5,8.5,6,9,A10,Art
6.75,5.75,2,6.5,6.75,2.45,7,CS1,CS
4.75,4.75,4.75,4.5,4.75,3.2,5.5,CS2,CS
3.25,4,6.25,3.5,6.25,3.25,6.75,CS3,CS
4.75,4.75,3.25,4.75,5,1.9,5,CS4,CS
4.25,3.5,4.25,3.5,4.25,1,4.25,CS5,CS
