Unnamed: 0,session__sessionId,Experiment,Answer,Type,lvlAfter,lvlBefore,Course
135,564,curated,True,curated,1.0,0.0,CS
136,564,curated,False,curated,1.0,0.0,CS
137,564,curated,False,curated,1.0,0.0,CS
138,564,curated,False,curated,1.0,0.0,CS
139,564,curated,False,curated,1.0,0.0,CS
140,1029,curated,True,curated,2.0,1.0,CS
141,1029,curated,True,curated,2.0,1.0,CS
142,1029,curated,True,curated,2.0,1.0,CS
143,1029,curated,True,curated,2.0,1.0,CS
144,1029,curated,False,curated,2.0,1.0,CS
145,99,curated,True,curated,2.0,1.0,CS
146,99,curated,True,curated,2.0,1.0,CS
147,99,curated,False,curated,2.0,1.0,CS
148,99,curated,False,curated,2.0,1.0,CS
149,99,curated,False,curated,2.0,1.0,CS
150,716,curated,True,curated,0.0,0.0,CS
151,716,curated,True,curated,0.0,0.0,CS
152,716,curated,False,curated,0.0,0.0,CS
153,716,curated,True,curated,0.0,0.0,CS
154,716,curated,False,curated,0.0,0.0,CS
155,527,curated,True,curated,0.0,0.0,CS
156,527,curated,True,curated,0.0,0.0,CS
157,527,curated,False,curated,0.0,0.0,CS
158,527,curated,False,curated,0.0,0.0,CS
159,527,curated,False,curated,0.0,0.0,CS
160,610,curated,True,curated,1.0,1.0,CS
161,610,curated,True,curated,1.0,1.0,CS
162,610,curated,False,curated,1.0,1.0,CS
163,610,curated,False,curated,1.0,1.0,CS
164,610,curated,False,curated,1.0,1.0,CS
165,47,curated,True,curated,2.0,2.0,CS
166,47,curated,True,curated,2.0,2.0,CS
167,47,curated,False,curated,2.0,2.0,CS
168,47,curated,True,curated,2.0,2.0,CS
169,47,curated,True,curated,2.0,2.0,CS
170,536,curated,True,curated,1.0,1.0,CS
171,536,curated,True,curated,1.0,1.0,CS
172,536,curated,False,curated,1.0,1.0,CS
173,536,curated,False,curated,1.0,1.0,CS
174,536,curated,False,curated,1.0,1.0,CS
175,1131,curated,True,curated,1.0,0.0,CS
176,1131,curated,True,curated,1.0,0.0,CS
177,1131,curated,True,curated,1.0,0.0,CS
178,1131,curated,True,curated,1.0,0.0,CS
179,1131,curated,False,curated,1.0,0.0,CS
180,1015,curated,True,curated,1.0,0.0,CS
181,1015,curated,True,curated,1.0,0.0,CS
182,1015,curated,True,curated,1.0,0.0,CS
183,1015,curated,False,curated,1.0,0.0,CS
184,1015,curated,False,curated,1.0,0.0,CS
185,280,curated,False,curated,0.0,0.0,CS
186,280,curated,False,curated,0.0,0.0,CS
187,280,curated,False,curated,0.0,0.0,CS
188,280,curated,False,curated,0.0,0.0,CS
189,280,curated,False,curated,0.0,0.0,CS
190,469,curated,True,curated,0.0,0.0,CS
191,469,curated,False,curated,0.0,0.0,CS
192,469,curated,False,curated,0.0,0.0,CS
193,469,curated,True,curated,0.0,0.0,CS
194,469,curated,False,curated,0.0,0.0,CS
195,1199,curated,True,curated,1.0,0.0,CS
196,1199,curated,True,curated,1.0,0.0,CS
197,1199,curated,False,curated,1.0,0.0,CS
198,1199,curated,False,curated,1.0,0.0,CS
