,Condition,Course,Inequality
0,Non-Social,CS,0.39719029374201786
1,Non-Social,CS,0.33741080530071355
2,Non-Social,CS,0.2592592592592593
3,Non-Social,CS,0.4324324324324324
4,Non-Social,CS,0.3444444444444444
5,Non-Social,ART,0.0927105449398443
6,Non-Social,ART,0.10365398956002986
7,Non-Social,ART,0.13296903460837886
8,Non-Social,ART,0.1481481481481481
9,Non-Social,ART,0.1143317230273752
10,Non-Social,ART,0.17140396210163653
11,Non-Social,ART,0.11919191919191917
12,Non-Social,ART,0.15384615384615385
13,Non-Social,ART,0.09361329833770779
14,Non-Social,ART,0.10586176727909011
15,Social,CS,0.31851851851851853
16,Social,CS,0.43735224586288424
17,Social,CS,0.3627450980392156
18,Social,CS,0.4222222222222223
19,Social,CS,0.3528265107212475
20,Social,ART,0.18089990817263546
21,Social,ART,0.1898989898989899
22,Social,ART,0.19274376417233563
23,Social,ART,0.21863799283154123
24,Social,ART,0.16865079365079366
25,Social,ART,0.19111111111111112
26,Social,ART,0.21777777777777782
27,Social,ART,0.22107674684994272
28,Social,ART,0.19567354965585057
29,Social,ART,0.23456790123456792
30,Social,CS,0.263544536271809
31,Social,CS,0.3151183970856102
32,Social,CS,0.3080168776371308
33,Social,CS,0.3263888888888889
34,Social,CS,0.4767025089605734
35,Social,ART,0.23127572016460907
36,Social,ART,0.2662835249042146
37,Social,ART,0.4853801169590643
38,Social,ART,0.4415204678362573
39,Social,ART,0.34953703703703703
40,Social,ART,0.3682539682539682
41,Social,ART,0.35407407407407404
42,Social,ART,0.3606837606837606
43,Social,ART,0.2818713450292398
44,Social,ART,0.33832709113607984
45,Social,CS,0.4281481481481482
46,Social,CS,0.42433862433862435
47,Social,CS,0.49158249158249157
48,Social,CS,0.5111111111111112
49,Social,CS,0.5888888888888889
50,Social,ART,0.228310502283105
51,Social,ART,0.285024154589372
52,Social,ART,0.33730158730158727
53,Social,ART,0.2068654019873532
54,Social,ART,0.16883116883116883
55,Social,ART,0.2923976608187135
56,Social,ART,0.3428300094966762
57,Social,ART,0.3251028806584361
58,Social,ART,0.27318295739348364
59,Social,ART,0.2060931899641577
